,Time(s),Count,From noise set(%),From signal(%)
148,0.0094375,61,0.0,0.0
149,0.0098125,56,0.0,0.0
150,0.0096875,53,0.0,0.0
151,0.009625,53,0.0,0.0
152,0.009375,49,0.0,0.0
153,0.0095625,44,0.0,0.0
154,0.00975,44,0.0,0.0
155,0.009875,43,0.0,0.0
156,0.010375,42,0.0,0.0
157,0.00925,42,0.0,0.0
158,0.0099375,42,0.0,0.0
159,0.01025,39,0.0,0.0
160,0.0095,39,0.0,0.0
161,0.010125,39,0.0,0.0
162,0.0101875,38,0.0,0.0
163,0.01,37,0.0,0.0
164,0.0100625,37,0.0,0.0
165,0.0104375,36,0.0,0.0
166,0.011125,29,0.0,0.0
167,0.0110625,27,0.0,0.0
168,0.0111875,25,0.0,0.0
169,0.010625,25,0.0,0.0
170,0.0105,24,0.0,0.0
171,0.0103125,23,0.0,0.0
172,0.010812500000000001,23,0.0,0.0
173,0.0105625,23,0.0,0.0
174,0.0106875,22,0.0,0.0
175,0.010875000000000001,21,0.0,0.0
176,0.011,20,0.0,0.0
177,0.010937500000000001,20,0.0,0.0
178,0.011625,20,0.0,0.0
179,0.011375,18,0.0,0.0
180,0.0114375,18,0.0,0.0
181,0.010750000000000001,18,0.0,0.0
182,0.0121875,17,0.0,0.0
183,0.01125,17,0.0,0.0
184,0.0115,17,0.0,0.0
185,0.012125,17,0.0,0.0
186,0.012,16,0.0,0.0
187,0.0116875,15,0.0,0.0
188,0.0125,14,0.0,0.0
189,0.01225,14,0.0,0.0
190,0.01175,14,0.0,0.0
191,0.0113125,13,0.0,0.0
192,0.013000000000000001,13,0.0,0.0
193,0.0115625,12,0.0,0.0
194,0.0123125,12,0.0,0.0
195,0.011875,12,0.0,0.0
196,0.012875000000000001,12,0.0,0.0
197,0.0120625,11,0.0,0.0
198,0.0126875,11,0.0,0.0
199,0.0125625,11,0.0,0.0
200,0.012750000000000001,11,0.0,0.0
201,0.012937500000000001,11,0.0,0.0
202,0.0133125,11,0.0,0.0
203,0.0118125,11,0.0,0.0
204,0.013125,9,0.0,0.0
205,0.0139375,9,0.0,0.0
206,0.0130625,9,0.0,0.0
207,0.0119375,9,0.0,0.0
208,0.013375,9,0.0,0.0
209,0.012812500000000001,9,0.0,0.0
210,0.0144375,8,0.0,0.0
211,0.01325,8,0.0,0.0
212,0.0131875,8,0.0,0.0
213,0.0124375,7,0.0,0.0
214,0.014750000000000001,7,0.0,0.0
215,0.012625,7,0.0,0.0
216,0.0143125,7,0.0,0.0
217,0.0134375,6,0.0,0.0
218,0.0141875,6,0.0,0.0
219,0.015625,6,0.0,0.0
220,0.012375,6,0.0,0.0
221,0.014875000000000001,5,0.0,0.0
222,0.014937500000000001,5,0.0,0.0
223,0.0135625,5,0.0,0.0
224,0.0138125,5,0.0,0.0
225,0.0136875,5,0.0,0.0
226,0.0140625,5,0.0,0.0
227,0.015125,5,0.0,0.0
228,0.01375,5,0.0,0.0
229,0.014,5,0.0,0.0
230,0.014687500000000001,5,0.0,0.0
231,0.0135,4,0.0,0.0
232,0.014125,4,0.0,0.0
233,0.0165625,4,0.0,0.0
234,0.013625,3,0.0,0.0
235,0.014375,3,0.0,0.0
236,0.0185625,3,0.0,0.0
237,0.0151875,3,0.0,0.0
238,0.0155,3,0.0,0.0
239,0.0156875,3,0.0,0.0
240,0.0145625,3,0.0,0.0
241,0.0166875,3,0.0,0.0
242,0.01925,3,0.0,0.0
243,0.015375,3,0.0,0.0
244,0.0145,3,0.0,0.0
245,0.0204375,2,0.0,0.0
246,0.01525,2,0.0,0.0
247,0.0158125,2,0.0,0.0
248,0.017125,2,0.0,0.0
249,0.01825,2,0.0,0.0
250,0.01725,2,0.0,0.0
251,0.0170625,2,0.0,0.0
252,0.0189375,2,0.0,0.0
253,0.0150625,2,0.0,0.0
254,0.01675,2,0.0,0.0
255,0.016125,2,0.0,0.0
256,0.014812500000000001,2,0.0,0.0
257,0.014625,2,0.0,0.0
258,0.017375,2,0.0,0.0
259,0.015875,2,0.0,0.0
260,0.0159375,2,0.0,0.0
261,0.0171875,2,0.0,0.0
262,0.0319375,1,0.0,0.0
263,0.0183125,1,0.0,0.0
264,0.0173125,1,0.0,0.0
265,0.01625,1,0.0,0.0
266,0.0260625,1,0.0,0.0
267,0.0184375,1,0.0,0.0
268,0.0206875,1,0.0,0.0
269,0.017875000000000002,1,0.0,0.0
